"arc_id","flow","traversal_time","active","x1","x2","y1","y2","z1","z2","capacity","initial_node","final_node"
136,0,"00:00:01",True,551,635,173,229,600,900,1000,198,188
137,0,"00:00:04",True,797,551,232,173,600,900,1000,185,198
138,0,"00:00:04",True,818,551,202,173,600,900,1000,186,198
139,0,"00:00:06",True,551,946,173,86,600,900,1000,198,184
140,0,"00:00:01",True,854,882,595,561,600,900,1000,176,199
141,0,"00:00:01",True,882,935,561,598,600,900,1000,199,177
142,0,"00:00:01",True,893,882,498,561,600,900,1000,182,199
143,0,"00:00:02",True,956,882,411,561,600,900,1000,179,199
144,0,"00:00:02",True,817,882,410,561,600,900,1000,178,199
145,0,"00:00:02",True,891,882,423,561,600,900,1000,181,199
146,0,"00:00:03",True,886,882,334,561,600,900,1000,180,199
147,0,"00:00:05",True,956,882,221,561,600,900,1000,183,199
148,0,"00:00:08",True,551,882,173,561,600,900,1000,198,199
149,0,"00:00:04",True,640,882,702,561,600,900,1000,200,199
150,0,"00:00:01",True,693,640,654,702,600,900,1000,169,200
151,0,"00:00:01",True,655,640,761,702,600,900,1000,172,200
152,0,"00:00:01",True,697,640,707,702,600,900,1000,170,200
153,0,"00:00:02",True,640,770,702,760,600,900,1000,200,171
154,0,"00:00:02",True,474,640,761,702,600,900,1000,173,200
155,0,"00:00:02",True,515,640,659,702,600,900,1000,168,200
156,0,"00:00:02",True,496,640,710,702,600,900,1000,175,200
157,0,"00:00:05",True,335,640,767,702,600,900,1000,174,200
158,0,"00:00:07",True,217,640,833,702,600,900,1000,164,200
159,0,"00:00:05",True,299,640,657,702,600,900,1000,166,200
160,0,"00:00:05",True,299,640,702,702,600,900,1000,167,200
161,0,"00:00:07",True,216,640,707,702,600,900,1000,165,200
162,0,"00:00:06",True,255,640,602,702,600,900,1000,163,200
163,0,"00:00:20",True,297,301,203,226,900,600,1000,192,68
164,0,"00:00:20",True,301,297,226,203,600,900,1000,68,192
165,0,"00:00:20",True,301,299,226,221,600,300,1000,68,37
166,0,"00:00:20",True,299,301,221,226,300,600,1000,37,68
167,0,"00:00:20",True,299,300,657,706,900,600,1000,166,96
168,0,"00:00:20",True,300,299,706,657,600,900,1000,96,166
169,0,"00:00:20",True,797,827,232,266,900,600,1000,185,75
170,0,"00:00:20",True,827,797,266,232,600,900,1000,75,185
171,0,"00:00:20",True,827,709,266,692,600,300,1000,75,43
172,0,"00:00:20",True,709,827,692,266,300,600,1000,43,75
173,0,"00:00:20",True,693,710,654,703,900,600,1000,169,91
174,0,"00:00:20",True,710,693,703,654,600,900,1000,91,169
175,0,"00:00:20",True,710,817,703,266,600,300,1000,91,26
176,0,"00:00:20",True,817,710,266,703,300,600,1000,26,91
